Source_ID,RA(J2000),DEC(J2000),Source_Type,F100,e_F100,F131.25,e_F131.25,F143.75,e_F143.75,F156.25,e_F156.25,F168.75,e_F168.75,Spectral_Index,e_Spectral_Index
21CMA-DDR1-J144521+861904,14:45:21.39,+86:19:04.0,P,,,,,0.0373017686714696,0.008401785765758,0.0309258529701723,0.008172409991825,0.0345143358282973,0.0068093849234824,-0.4434308928769093,1.8655039685694368
21CMA-DDR1-J144139+861440,14:41:38.75,+86:14:39.6,P,,,0.0495503663621106,0.0126928207127596,0.0412434095269217,0.0082878188073607,0.0324085271026718,0.0078363500901612,0.0360347112830218,0.0072807092996381,-1.324459702828121,1.210965004971204
21CMA-DDR1-J140952+852555,14:09:52.40,+85:25:54.6,P,0.5485785001258069,0.0150530799523464,0.4217762685237758,0.0177412705253857,0.4965052732073099,0.0183668584078093,0.5122551119048893,0.0221586558042265,0.3370655216809957,0.0114323947725464,-0.6647037745192901,0.0755209160959931
21CMA-DDR1-J191015+872553,19:10:15.26,+87:25:52.8,P,0.0362355102176438,0.0091778115479055,0.0372743158432209,0.0091063070711702,0.0355736234070716,0.0041309724287317,0.0345658828176371,0.0078591320322848,0.0324736117066774,0.0042103654276693,-0.2615899537281296,0.5149957787554754
21CMA-DDR1-J161605+871607,16:16:05.03,+87:16:07.0,P,,,0.0288369111369899,0.0094398001677894,0.0313554193846942,0.0084338018370592,0.0359967957111856,0.0077842402736475,0.028203046484924,0.0054517420226994,-0.167062969423733,1.372280366493451
21CMA-DDR1-J200244+870754,20:02:44.12,+87:07:54.4,P,,,0.0504687775198776,0.011700806992805,0.0529969213735977,0.0111787540349828,0.0388082813185848,0.0080150351471509,0.0406845085401536,0.0056577867072328,-1.0894532549512357,0.9916345560915608
21CMA-DDR1-J170825+872821,17:08:24.75,+87:28:20.9,P,0.0865814274039507,0.0164682209380893,0.0838144766687997,0.0096325072316668,0.0808221675069491,0.017068991959218,0.0682691107917692,0.0112229152850751,0.0654584317787952,0.0079833180110366,-0.6348465952352963,0.4012175683411813
21CMA-DDR1-J212342+860129,21:23:41.53,+86:01:29.1,P,0.223332975661722,0.0144638354932711,0.1342362311904671,0.0103641900148276,0.1892687825283964,0.0158235400130437,0.1347662189633823,0.0160473990931718,0.1080683880243054,0.010837980648067,-1.146300826952796,0.1926485604305713
21CMA-DDR1-J205704+863330,20:57:03.87,+86:33:30.0,P,,,0.0449227094072907,0.0146768156950336,0.0439177515545042,0.0129558621695477,0.0416252264654569,0.0120554966333618,0.0260967298593904,0.0071176283131282,-2.1067171738317243,1.5974673300272562
21CMA-DDR1-J140459+851406,14:04:59.29,+85:14:05.5,P,0.3566665027414295,0.0156294212508991,0.2560367129194848,0.0147700135823237,0.3255070451917354,0.0172588508202274,0.3416202046306276,0.020758595725193,0.1913020469625956,0.0166929395097982,-0.5170246152342781,0.1319366838849666
